date,serial_number,model,capacity_bytes,failure,reallocated-sectors-count-normal,reallocated-sectors-count-raw,power-on-hours-normal,power-on-hours-raw,power-cycle-count-normal,power-cycle-count-raw,reported-uncorrectable-errors-normal,reported-uncorrectable-errors-raw,temperature-difference-normal,temperature-difference-raw,hardware-ecc-recovered-normal,hardware-ecc-recovered-raw,ultradma-crc-error-count-normal,ultradma-crc-error-count-raw,total-lbas-written-normal,total-lbas-written-raw,total-lbas-read-normal,total-lbas-read-raw
2021-04-01,ZL005BVW,ST12000NM0008,1.20001E+13,0,100,0,94,5513,100,4,100,0,76,24,1,13443504,200,0,100,23503284912,100,72216891725
2021-04-16,ZA13KB6X,ST8000DM002,8E+12,1,100,0,57,38384,100,7,97,3,69,31,1,213951992,200,0,100,81739228696,100,2.62E+11
2021-04-14,ZLW18RW2,ST14000NM001G,1.4E+13,1,100,1184,95,4977,100,1,1,106,76,24,,,200,0,100,48515847560,100,96930364302
2021-04-05,ZHZ4WQVV,ST12000NM0008,1.2E+13,1,100,0,88,11355,100,6,100,0,73,27,2,81077592,200,0,100,57358295912,100,1.58E+11
2021-04-01,ZLW0GJWH,ST12000NM001G,1.20001E+13,0,100,0,92,7728,100,4,100,0,67,33,,,200,0,100,55803470104,100,1.07027E+11
2021-04-22,ZCH06GQ4,ST12000NM0007,1.2E+13,1,81,11336,65,30684,100,23,1,766,78,22,82,161331504,200,0,100,67336546736,100,2.72E+11
2021-04-25,ZA21DWH8,ST10000NM0086,1E+13,1,96,15690,64,31565,100,9,84,16,71,29,80,92729848,200,0,100,86177326088,100,2.84E+11
2021-04-01,ZHZ4VAS1,ST12000NM0008,1.20001E+13,0,100,0,88,11140,100,2,100,0,70,30,3,46352776,200,0,100,59486492872,100,1.3514E+11
2021-04-01,PL1331LAHGUSNH,HGST HMS5C4040ALE640,4.00079E+12,0,100,0,95,35463,100,10,,,,,,,200,0,,,,
2021-04-01,88P0A01AF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,46,21892,100,1,,,,,,,200,0,,,,
2021-04-01,ZJV03JH4,ST12000NM0007,1.20001E+13,0,100,8,72,25393,100,9,100,0,78,22,72,16476848,200,0,100,60518686552,100,2.62008E+11
2021-04-29,S301K6TR,ST4000DM000,4E+12,1,100,32,45,48718,100,14,88,12,75,25,,,200,0,100,64176700080,100,5.45E+11
2021-04-01,Z304HQR4,ST4000DM000,4.00079E+12,0,100,0,46,47369,100,7,100,0,82,18,,,200,0,100,60722281144,100,2.62405E+11
2021-04-01,ZHZ2RX31,ST12000NM0008,1.20001E+13,0,100,0,86,12568,100,3,100,0,69,31,1,166836672,200,0,100,63716894568,100,1.97682E+11
2021-05-12,ZA11K24A,ST8000NM0055,8.00156E+12,1,86,55968,59,36311,100,4,1,295,63,37,84,242424232,200,0,100,76509561784,100,2.74375E+11
2021-04-19,50L0A00SF97G,TOSHIBA MG07ACA14TA,1.4E+13,1,100,0,100,135,100,2,,,,,,,200,0,,,,
2021-04-01,ZJV5JXZM,ST12000NM0007,1.20001E+13,0,100,0,85,13483,100,1,100,0,72,28,84,234320344,200,0,100,47333676520,100,1.59444E+11
2021-05-12,Z305D9S6,ST4000DM000,4.00079E+12,1,93,9072,61,34944,100,20,1,110,84,16,,,200,0,100,31735101544,100,2.28182E+11
2021-04-01,40M0A0SKF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,97,1461,100,2,,,,,,,200,0,,,,
2021-04-01,ZHZ3DWCX,ST14000NM0138,1.40005E+13,0,100,0,97,3206,100,18,100,0,65,35,2,62160728,200,0,100,36820245699,100,31114034806
2021-04-01,8HK3GGEH,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,20922,100,6,,,,,,,200,0,,,,
2021-04-23,70H0A02MF97G,TOSHIBA MG07ACA14TA,1.4E+13,1,100,0,95,2172,100,2,,,,,,,200,0,,,,
